,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
hou,@ lal,@ uta,bos,@ phi,@ mia,sas,gsw,@ min,phi,@ okc,@ mem,lal,dal,nyk,sac,lac,@ mil,mem,@ min,phx,@ gsw,@ sac,den,@ den,nop,atl,por,@ mem,@ sas,was,cha,@ nop,mia,@ chi,@ cle,@ nyk,uta,@ bkn,@ orl,okc,gsw,ind,@ gsw,@ phx,@ lal,dal,@ bos,@ det,chi,mil,por,@ phx,@ lac,@ dal,tor,min,lac,bkn,cle,@ atl,mem,det,@ den,@ por,@ uta,@ lac,orl,den,phx,@ ind,@ nop,min,@ was,@ tor,sac,@ dal,@ okc,@ sas,sas,nop,@ cha,uta
ind,phi,mem,@ atl,mil,@ was,@ bos,was,uta,@ mia,den,@ chi,cha,phx,@ dal,@ sas,orl,@ cle,@ phx,@ por,@ sac,atl,lac,@ tor,por,lal,@ lac,@ den,@ min,nop,@ det,@ bkn,chi,mia,@ mil,@ lal,@ uta,@ gsw,bos,@ phi,min,det,@ cha,@ hou,@ atl,@ mia,@ orl,tor,nyk,sac,det,cle,@ cha,sas,@ nop,@ phi,gsw,@ okc,cle,phi,nyk,chi,@ nyk,orl,mil,bos,tor,@ chi,@ cle,bkn,hou,@ was,@ mil,dal,@ bkn,@ bos,cha,mia,@ nyk,@ det,okc,was,@ mem
lac,okc,@ lal,sac,uta,@ gsw,por,sas,phx,chi,@ orl,@ mia,@ mem,@ cha,@ det,@ hou,@ uta,min,orl,nop,phx,@ ind,@ was,@ mil,det,ind,@ den,mil,@ sas,@ atl,gsw,tor,uta,nyk,phi,atl,lal,dal,mia,@ por,cle,@ sac,bos,bkn,@ phx,den,@ uta,@ nop,@ sas,@ bkn,@ cle,@ tor,@ okc,@ dal,hou,sas,sac,mem,@ hou,@ mem,@ chi,@ min,por,@ gsw,min,@ okc,@ dal,hou,cha,@ sac,was,nop,@ nyk,@ phi,@ bos,gsw,@ por,@ den,@ lal,lal,mem,den,@ phx
lal,hou,@ phx,lac,@ gsw,phx,cha,@ mem,@ nop,sas,gsw,@ atl,@ hou,@ dal,den,mem,min,tor,@ det,@ was,@ bos,nop,sac,@ sas,@ min,@ ind,okc,@ sac,gsw,@ chi,@ dal,phx,@ den,mem,ind,@ por,@ lac,orl,por,mia,cle,@ uta,@ phx,@ nop,@ sas,hou,was,chi,@ nyk,@ mil,@ orl,@ cle,den,@ por,bkn,bos,@ uta,mil,okc,@ cha,@ mia,@ mem,dal,det,nyk,atl,@ gsw,uta,phi,@ okc,@ min,@ tor,@ bkn,@ phi,nop,por,lac,@ lac,@ den,min,dal,@ sac,sac
mem,min,@ ind,@ cha,nop,@ phx,@ okc,@ mil,lal,sac,det,hou,@ tor,bos,lac,@ lal,@ por,@ sac,@ hou,sas,mia,dal,cha,@ phi,gsw,@ sas,chi,@ cle,uta,hou,@ mia,sas,@ lal,@ den,nyk,@ atl,@ nop,phx,@ bkn,@ orl,por,dal,tor,phi,orl,@ dal,den,okc,@ phx,@ uta,@ min,atl,bkn,@ okc,@ por,@ lac,@ sac,lac,@ min,uta,@ hou,lal,@ nop,@ chi,@ bos,@ was,mil,den,@ det,@ dal,por,@ nyk,cle,gsw,@ sas,sac,okc,was,nop,@ uta,@ lac,@ gsw,ind
mia,was,@ phi,tor,hou,@ cha,min,@ dal,ind,@ atl,mil,@ bkn,lac,@ orl,cha,gsw,@ nyk,@ was,atl,@ mil,@ mem,@ phx,@ den,@ uta,chi,@ bkn,uta,was,bos,phi,cle,mem,orl,@ ind,@ hou,bkn,@ por,@ lac,@ lal,@ gsw,@ sac,okc,@ cha,ind,@ chi,mil,dal,@ bos,@ det,@ min,@ sas,nyk,@ cle,@ nyk,nop,phi,@ orl,@ nop,atl,phx,lal,@ was,sac,bos,bkn,@ tor,cle,por,den,@ okc,@ mil,@ bos,@ atl,det,sas,@ cle,@ det,@ ind,cha,chi,tor,orl,@ phi
mil,@ cha,phi,@ was,@ ind,chi,@ det,mem,okc,@ orl,@ mia,nyk,@ bkn,@ tor,was,det,@ min,@ det,hou,@ cle,dal,mia,@ dal,@ okc,lac,@ phx,@ por,@ sac,@ lac,cha,@ atl,atl,@ cha,@ cle,ind,@ nyk,phx,@ phi,min,@ chi,nyk,tor,uta,det,@ sas,@ mia,@ orl,por,@ tor,lal,@ hou,bos,bkn,sac,den,atl,@ chi,phi,@ lal,@ uta,@ den,@ gsw,was,nop,orl,@ ind,@ mem,@ nop,sas,@ bkn,cle,mia,ind,gsw,@ atl,chi,@ bos,orl,cle,@ nyk,bkn,@ phi,bos
min,@ mem,det,chi,@ bkn,@ orl,@ mia,hou,@ nop,@ dal,nyk,sas,sac,mil,@ lal,@ por,@ lac,phi,hou,@ sas,gsw,por,okc,lal,@ was,@ bos,ind,@ cle,@ den,@ gsw,@ uta,sac,uta,den,phx,@ mil,sas,@ ind,@ phx,@ den,@ cha,dal,nop,@ atl,@ okc,bos,@ phi,cle,@ dal,mia,mem,@ det,atl,gsw,phx,@ hou,was,@ chi,mem,lac,den,por,@ lac,@ phx,@ okc,@ sas,bkn,@ tor,@ nyk,cha,@ uta,lal,@ hou,@ nop,uta,tor,orl,@ sac,@ por,@ lal,@ gsw,nop,okc
nop,orl,dal,@ mem,cha,@ sas,@ cle,lal,min,@ por,@ sac,@ den,@ uta,sac,@ atl,@ was,okc,@ gsw,@ lac,@ lal,nyk,@ dal,cle,gsw,uta,@ hou,por,@ okc,@ ind,sas,@ chi,phx,@ sas,hou,was,@ cha,mem,@ bos,@ det,@ phi,@ tor,@ nyk,lal,@ min,dal,phi,den,lac,atl,okc,@ okc,chi,uta,ind,@ orl,@ mia,tor,bkn,mia,@ den,@ dal,det,bos,mem,@ mil,@ bkn,den,mil,@ phx,@ gsw,@ lac,hou,sac,min,@ lal,@ sac,@ por,gsw,@ mem,phx,@ hou,@ min,sas
nyk,chi,@ cle,cha,was,@ det,@ bkn,@ atl,atl,orl,uta,den,@ mil,@ min,phi,@ hou,@ dal,@ okc,mia,bkn,cle,@ cha,por,@ nop,@ sas,@ bos,tor,dal,@ chi,phx,@ tor,was,@ sac,@ por,@ lac,det,mil,@ mem,@ was,hou,cha,@ mil,nop,@ phi,orl,@ cha,sac,okc,@ ind,lal,bos,@ bkn,gsw,@ mia,@ orl,mia,cle,@ bos,@ det,tor,@ ind,ind,@ den,@ uta,@ lal,@ gsw,@ phx,sas,min,@ phi,@ tor,mem,lac,bos,@ chi,bkn,@ was,phi,ind,mil,@ orl,@ atl,det
okc,@ por,@ lac,den,@ bkn,@ tor,mem,sac,@ mil,@ bos,det,hou,@ uta,@ den,bkn,gsw,uta,nyk,@ nop,@ phi,@ det,mil,cle,@ min,phx,@ sac,@ gsw,@ lal,nop,por,@ sas,cha,@ dal,phx,was,@ gsw,@ sac,uta,@ hou,gsw,@ orl,@ mia,@ was,@ atl,@ cle,min,@ nyk,@ mem,orl,@ nop,nop,lac,@ den,mem,dal,@ cha,den,ind,@ phx,@ por,@ lal,phi,@ chi,tor,lac,min,chi,@ dal,bos,atl,mia,lal,@ sas,@ uta,@ phx,dal,@ mem,hou,sas,sac,@ ind,por,@ min
orl,@ nop,was,tor,@ chi,@ phi,min,@ bkn,@ tor,@ nyk,mil,@ was,@ det,lac,@ cha,mia,@ cle,gsw,@ ind,@ phx,@ gsw,@ lac,@ uta,@ sac,was,@ atl,atl,@ tor,@ bos,uta,phi,bos,cle,@ cha,@ mia,det,bkn,cha,@ den,@ lal,@ por,@ chi,hou,mem,okc,@ det,@ nyk,ind,@ mem,mil,dal,@ okc,@ sas,lal,chi,@ was,nyk,nop,phi,mia,@ atl,cha,phx,sac,bos,@ ind,@ mil,@ bos,cle,@ hou,@ dal,por,den,atl,det,sas,@ min,@ mil,chi,tor,nyk,@ mia,@ bkn
phi,@ ind,@ mil,mia,hou,orl,chi,@ tor,@ dal,@ hou,@ sas,bos,phx,@ nyk,por,bkn,dal,sas,@ min,okc,@ det,@ atl,@ bkn,mem,bos,cha,@ orl,@ mia,@ por,@ uta,@ gsw,@ phx,@ lac,cle,mil,@ bkn,ind,atl,@ tor,nop,@ det,@ was,nyk,tor,@ mem,@ nop,det,min,@ atl,@ cle,den,@ bos,cha,gsw,ind,@ orl,@ mia,@ mil,was,@ ind,tor,@ okc,uta,atl,chi,sac,bkn,@ bos,det,nyk,@ lal,@ sac,@ den,lac,@ cle,lal,@ was,@ cha,@ nyk,was,@ chi,mil,mia
phx,lal,sas,@ uta,@ lal,mem,sac,gsw,bkn,cha,@ lac,@ bos,@ det,@ phi,@ ind,@ tor,den,@ den,orl,ind,@ dal,@ hou,@ lac,mia,det,@ okc,mil,@ cha,@ nyk,@ was,dal,@ sac,@ lal,@ nop,@ okc,phi,tor,@ mil,@ min,@ sas,@ mem,cle,min,lal,por,hou,lac,was,chi,@ gsw,mem,@ por,uta,@ sac,hou,@ min,@ chi,bos,@ den,okc,sas,@ mia,@ orl,@ bkn,@ cle,gsw,min,atl,nyk,nop,@ hou,dal,sac,por,okc,@ por,@ gsw,uta,@ atl,@ dal,@ nop,@ sas,lac
por,okc,@ sac,gsw,cle,dal,@ lac,den,cha,@ den,bkn,nop,chi,@ bos,@ phi,@ cha,mem,min,@ den,ind,@ nyk,@ det,@ min,@ chi,@ ind,sas,mil,@ sas,@ nop,@ hou,@ okc,phi,nyk,tor,atl,lal,mia,orl,@ lal,lac,@ sas,@ mem,sac,@ phx,bos,was,@ bkn,@ cle,@ atl,@ mil,uta,phx,@ dal,@ hou,lal,@ uta,mem,sas,okc,@ sac,@ lac,dal,@ min,hou,det,@ tor,@ was,@ mia,@ orl,@ mem,gsw,@ uta,@ phx,den,phx,lac,@ lal,nop,min,@ gsw,uta,@ okc,@ dal
sac,gsw,por,@ lac,@ den,den,@ phx,@ okc,@ dal,@ mem,sas,nop,chi,@ min,@ nop,@ hou,@ sas,mem,tor,ind,orl,uta,@ lal,hou,det,okc,mil,lal,@ gsw,phx,nyk,@ bkn,@ bos,@ min,@ det,okc,den,cle,dal,mia,lac,@ por,bkn,@ gsw,@ nyk,@ tor,@ cle,@ ind,gsw,dal,@ uta,phx,@ chi,@ mil,bos,@ lac,mem,sas,por,@ sas,@ orl,@ mia,@ atl,@ cha,@ phi,@ was,atl,lac,cha,was,phi,@ phx,@ nop,@ mem,@ hou,nop,uta,min,@ uta,@ okc,@ den,lal,@ lal
sas,dal,@ phx,atl,@ hou,nop,@ lac,@ gsw,@ lal,@ sac,phi,@ cle,@ min,bkn,ind,sac,@ bos,@ phi,@ bkn,@ mem,min,@ uta,nyk,lal,@ den,@ por,mem,por,@ dal,lac,okc,@ nop,hou,@ mem,nop,was,det,phx,@ min,@ was,@ cha,por,uta,@ den,@ chi,lal,mil,cha,lac,orl,mia,@ tor,@ ind,@ det,@ lac,@ gsw,@ uta,@ por,@ sac,@ phx,sac,den,chi,tor,cle,min,@ nyk,@ mil,bos,@ atl,@ dal,okc,dal,mem,@ mia,@ orl,den,gsw,@ okc,hou,@ hou,phx,@ nop
tor,atl,@ orl,@ mia,okc,@ bos,was,phi,orl,chi,uta,mem,mil,@ cle,phx,@ atl,dal,@ lal,@ sac,@ uta,cle,den,@ cle,ind,@ nyk,orl,bkn,@ det,nyk,@ chi,@ lac,@ den,@ por,@ gsw,@ phx,cha,bos,det,phi,atl,nop,@ mil,@ mem,@ phi,det,@ ind,sac,@ bkn,@ was,mil,bkn,lac,sas,was,@ atl,@ hou,@ nop,@ dal,gsw,@ nyk,@ phi,cle,@ cha,@ okc,@ sas,mia,por,@ ind,min,@ chi,nyk,@ det,chi,lal,hou,@ min,@ bkn,bos,@ cha,@ orl,@ mia,@ bos,cha
uta,hou,@ dal,phx,@ lac,cle,dal,@ det,@ ind,@ atl,@ nyk,@ tor,okc,@ gsw,nop,chi,@ okc,lac,den,tor,orl,@ sac,sas,mia,@ was,@ nop,@ mia,@ orl,@ cha,@ mem,phi,@ lac,min,atl,@ min,ind,@ chi,@ okc,@ hou,gsw,lal,@ sas,@ cle,@ mil,bkn,bos,lac,gsw,@ por,mem,@ phx,sac,@ nop,@ dal,por,sas,lal,@ den,mil,@ mem,@ bos,@ phi,@ bkn,nyk,hou,det,cha,was,@ lal,@ gsw,min,por,@ den,okc,@ min,den,@ phx,@ sac,sac,mem,@ por,dal,@ hou
was,@ mia,@ orl,mil,@ nyk,ind,@ tor,@ ind,det,orl,dal,cle,@ mil,atl,@ cle,nop,mia,lal,den,@ bos,bos,@ orl,lac,uta,min,@ mia,phx,chi,@ nyk,bos,@ hou,@ dal,@ okc,@ sas,@ nop,nyk,chi,@ atl,sas,@ chi,bkn,@ bkn,phi,okc,@ por,@ den,@ lal,@ phx,tor,cha,@ atl,@ cha,bkn,orl,@ tor,cle,@ det,gsw,@ min,@ phi,det,@ chi,mia,@ mil,@ cha,mem,sac,por,@ uta,@ lac,@ sac,@ gsw,ind,cha,hou,phi,nyk,@ mem,@ phi,@ bkn,atl,@ ind,@ cle
