,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
atl,@ tor,ind,@ sas,@ cha,nyk,@ nyk,uta,mia,@ cle,lal,det,@ was,tor,nop,cha,bos,@ mia,@ bkn,den,@ ind,phi,orl,@ orl,chi,@ cle,@ hou,@ dal,lac,mil,@ mil,cle,@ uta,@ por,@ lac,mem,@ det,was,@ phi,@ bos,@ tor,@ chi,det,ind,okc,min,bkn,por,phi,@ nop,was,gsw,@ mem,@ min,@ bos,tor,@ mil,dal,orl,@ mia,hou,cle,@ phi,sac,@ den,@ phx,@ lal,@ sac,@ gsw,@ okc,sas,@ orl,mia,@ cha,mil,@ det,bkn,phx,@ bkn,cha,@ was,nyk,@ chi
bkn,@ bos,@ det,okc,min,nyk,orl,@ phx,@ gsw,@ por,mia,mil,@ okc,@ sas,@ phi,chi,@ nyk,sas,atl,cle,@ chi,phi,@ cha,mia,@ tor,@ cle,det,den,@ bos,ind,sac,@ chi,@ orl,@ mia,dal,bos,phi,@ det,hou,mem,@ was,was,@ sac,@ lac,@ uta,por,@ atl,tor,lac,@ tor,nyk,@ was,@ mil,@ mem,@ lal,@ den,@ nop,@ hou,@ dal,gsw,cha,phx,uta,nop,@ mia,@ phi,@ min,@ cle,mil,@ ind,bos,@ cha,cle,lal,ind,@ nyk,tor,@ atl,atl,was,@ mil,chi,orl
bos,bkn,@ hou,@ dal,tor,ind,@ chi,okc,cle,phx,@ phi,@ mem,por,chi,sas,@ atl,det,lal,was,@ was,@ cha,nyk,@ phi,orl,min,@ mia,@ orl,bkn,@ was,sac,dal,@ chi,cha,@ bkn,@ ind,@ tor,nop,atl,chi,@ lac,@ por,@ den,@ gsw,@ uta,@ min,hou,mia,@ nyk,den,phi,@ mil,atl,@ sac,@ lal,@ phx,nyk,cha,gsw,@ cle,uta,@ nop,@ orl,@ mia,mem,orl,@ ind,phi,@ okc,@ sas,det,@ bkn,mia,@ nyk,lac,@ cha,ind,mil,@ tor,@ det,@ cle,cle,tor,@ mil
cha,mil,mem,@ nyk,@ nop,mia,atl,@ lal,@ por,@ phx,@ gsw,dal,@ ind,orl,@ mia,lac,por,gsw,@ atl,chi,nyk,bos,@ mem,bkn,@ cle,phx,@ phi,uta,den,@ mil,@ okc,orl,mil,@ hou,cle,@ orl,@ bos,nop,@ tor,@ nyk,sas,ind,min,mia,@ cle,nyk,@ sas,@ den,@ was,was,@ phi,ind,det,okc,@ dal,@ chi,@ bos,@ orl,lal,@ bkn,tor,@ det,was,sac,chi,@ uta,@ lac,@ sac,@ min,@ chi,bkn,@ was,atl,bos,det,@ ind,phi,@ mia,tor,@ atl,@ det,hou,@ tor
chi,@ nyk,cle,@ min,orl,@ mil,@ phi,bos,det,@ tor,ind,@ lac,@ sac,@ por,@ uta,@ den,@ bos,@ bkn,dal,@ cha,gsw,bkn,por,@ mia,@ atl,nyk,@ mem,tor,@ was,lal,nop,@ ind,bkn,den,bos,hou,uta,@ was,mil,orl,was,@ bos,atl,@ cle,sas,@ dal,mia,@ gsw,@ lal,@ phx,@ hou,@ nop,@ orl,sac,cle,@ det,phx,mil,cha,min,lac,was,okc,@ ind,@ sas,mem,@ phi,@ cha,@ okc,ind,tor,@ det,cha,@ tor,nyk,@ mil,det,@ cle,@ orl,@ mia,phi,@ bkn,atl
cle,nyk,@ chi,@ por,@ uta,@ den,nop,@ bos,atl,den,sas,@ was,tor,orl,was,ind,mil,@ nyk,@ tor,@ bkn,tor,@ okc,@ nop,cha,atl,bkn,mem,min,@ mia,@ orl,det,@ atl,mil,@ cha,dal,@ phi,hou,@ gsw,@ sac,@ phx,@ lal,@ lac,chi,uta,cha,okc,@ det,por,sac,@ min,phi,lac,@ ind,lal,mia,@ chi,@ was,@ nyk,@ det,gsw,@ ind,@ hou,bos,@ tor,@ atl,phx,@ dal,@ sas,@ orl,@ mia,bkn,ind,@ mil,@ mem,@ bkn,phi,mia,chi,@ mil,bos,@ bos,det,was
dal,@ sas,uta,@ nop,bos,@ por,@ uta,mia,sac,phi,min,@ cha,@ was,lal,@ hou,ind,nyk,@ tor,@ phi,@ chi,@ mil,phx,mil,@ mem,nop,gsw,@ nyk,@ det,sas,atl,@ phx,lal,okc,was,@ bos,@ cle,@ bkn,det,@ lac,@ sac,@ den,den,@ mem,@ min,chi,@ nop,mem,@ hou,@ mia,@ orl,min,@ gsw,@ sac,por,lac,uta,@ okc,hou,cha,tor,@ atl,bkn,nop,@ por,@ gsw,@ lal,cle,lac,okc,orl,mem,@ phx,sas,@ sas,@ ind,@ okc,hou,gsw,phx,@ den,@ lal,@ uta,por
den,det,@ okc,sac,@ sac,cle,@ por,por,@ ind,@ nyk,@ cle,okc,nop,@ lal,chi,@ phx,phx,@ uta,por,@ was,@ atl,@ tor,mia,@ hou,sas,hou,lac,ind,@ cha,@ bkn,min,tor,lal,@ chi,mem,@ min,orl,@ sac,dal,@ dal,min,@ gsw,sas,bos,was,@ lac,@ nop,@ mem,cha,@ phi,@ bos,@ det,okc,@ lal,@ mil,@ okc,bkn,phx,uta,nop,mil,@ min,@ sas,hou,nyk,atl,gsw,@ nop,@ mem,@ hou,@ mia,@ orl,phi,uta,@ por,@ uta,@ sas,lac,lal,dal,sac,@ lac,@ gsw
det,@ den,@ min,bkn,nyk,mil,uta,@ chi,@ was,@ okc,@ mem,orl,phx,@ atl,@ mil,lac,mil,gsw,lal,@ bos,phi,okc,por,@ phx,@ sac,@ lac,dal,tor,@ bkn,ind,@ cle,@ orl,@ nyk,sac,@ sas,@ dal,atl,bkn,@ tor,nop,@ ind,phi,@ atl,orl,@ mil,@ tor,cle,@ phi,hou,mia,@ ind,den,min,@ cha,sas,chi,was,cle,nyk,@ was,@ nop,@ hou,cha,@ lal,@ gsw,@ por,@ uta,mem,@ phi,chi,@ bos,tor,@ orl,@ mia,atl,@ cha,@ chi,mia,bos,ind,cha,@ cle,@ nyk
gsw,@ sac,lal,@ por,lac,@ hou,@ phx,sas,bkn,cha,@ lal,uta,@ okc,@ mia,@ orl,@ cha,@ det,orl,nop,@ chi,@ min,hou,@ dal,@ nop,@ mem,okc,sac,@ lal,@ lac,min,phi,tor,okc,ind,cle,@ uta,mia,@ okc,@ hou,den,hou,sac,bos,chi,@ uta,phx,@ sac,dal,@ atl,@ nyk,@ phi,@ min,sas,@ ind,@ was,@ cle,@ tor,@ bos,@ bkn,mil,dal,lac,@ phx,det,@ den,nyk,lal,atl,nop,uta,was,@ por,@ mem,@ mil,@ lac,phx,@ dal,@ sas,@ nop,por,min,mem,den
