,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
hou,cha,dal,@ uth,@ lac,@ por,lal,lac,tor,@ phi,@ nyk,den,bos,@ dal,min,@ mem,atl,bkn,@ sas,@ uth,pho,gsw,orl,@ por,@ gsw,@ sac,chi,@ ind,@ det,dal,@ sas,mem,nor,@ okc,sac,nyk,lal,@ atl,@ was,@ bos,@ nor,okc,mil,por,sac,mem,@ mem,sas,@ dal,cle,pho,@ mil,@ min,was,@ lal,@ gsw,@ pho,@ sac,@ lac,det,mia,@ orl,ind,por,@ okc,@ chi,@ mia,uth,min,@ cle,@ cha,phi,lac,@ bkn,@ tor,okc,den,@ lal,@ den,@ min,nor,sas,@ nor
ind,orl,@ nor,cle,@ det,chi,tor,@ bkn,mem,mil,@ chi,@ nyk,@ bos,phi,min,@ cha,was,@ lac,@ por,@ uth,@ sas,@ okc,mia,cha,det,@ mia,hou,bos,@ bkn,bkn,cle,@ tor,nor,@ cle,tor,@ atl,was,sac,nyk,lac,@ gsw,@ pho,@ sac,@ den,@ lal,pho,bkn,orl,@ atl,por,@ orl,den,dal,atl,@ min,@ mil,lal,mil,@ bos,uth,gsw,@ cha,@ hou,@ dal,bos,@ phi,@ det,phi,@ nyk,chi,@ mem,@ chi,mia,@ was,@ cle,sas,det,@ tor,atl,@ mil,@ mia,okc,@ orl
lac,@ lal,gsw,@ sac,hou,@ orl,@ mia,@ hou,min,okc,bkn,mem,@ min,@ okc,sac,chi,nyk,@ sac,ind,@ atl,@ mem,@ cle,@ phi,@ bos,@ bkn,@ was,sas,nor,den,min,@ gsw,@ por,uth,pho,cha,@ dal,@ sas,orl,bos,lal,dal,@ nyk,@ ind,@ det,@ cha,@ chi,@ tor,@ mil,was,@ gsw,uth,@ den,mia,tor,phi,por,sas,@ mem,@ okc,@ nor,hou,nor,@ pho,@ lal,atl,pho,gsw,@ uth,cle,@ den,det,mil,@ nor,@ dal,@ hou,@ min,@ pho,dal,lal,okc,sac,den,@ por
lal,lac,@ gsw,sas,atl,@ dal,@ hou,@ nor,min,nor,@ den,mem,det,gsw,sac,@ was,@ bkn,@ det,por,@ sac,tor,pho,@ okc,@ cha,@ atl,@ mem,min,@ gsw,@ pho,mia,@ uth,phi,mil,uth,den,@ dal,@ hou,@ lac,cle,@ pho,@ bos,@ tor,@ chi,@ mia,@ orl,@ nyk,ind,cha,@ min,@ cle,@ phi,chi,uth,okc,hou,bos,bkn,@ ind,@ mem,sac,@ por,nor,lac,@ den,okc,@ okc,@ sas,sas,was,orl,nyk,@ mil,@ min,pho,por,@ sac,dal,@ lac,hou,gsw,mem,@ uth,@ sas
mem,@ sas,det,@ dal,bos,nor,gsw,@ ind,tor,@ lal,@ sac,@ lac,@ gsw,sas,hou,@ bos,bkn,pho,lac,gsw,orl,okc,@ nor,min,lal,@ dal,@ nyk,uth,@ hou,den,chi,@ pho,@ den,@ det,sas,pho,atl,okc,@ mil,sac,nor,@ hou,hou,@ por,@ sac,@ min,mil,@ okc,dal,@ atl,@ cle,was,@ orl,nyk,lac,@ cha,lal,@ okc,cle,@ was,@ bkn,@ chi,cha,por,@ nor,@ tor,@ phi,uth,@ mia,ind,min,@ uth,@ gsw,@ por,@ den,@ min,den,@ sas,mia,phi,@ lal,@ pho,dal
mia,chi,@ phi,@ bkn,was,@ tor,lac,bos,mil,dal,@ cha,atl,@ orl,orl,pho,@ cle,@ tor,cha,det,@ chi,@ min,@ det,@ ind,cle,uth,ind,sac,atl,@ lal,@ sac,@ por,@ den,gsw,@ orl,tor,nor,@ nyk,@ bkn,@ was,@ phi,@ cha,@ atl,bos,lal,sas,okc,@ nyk,det,@ lac,@ uth,@ pho,@ gsw,@ dal,@ okc,chi,nyk,orl,cha,@ hou,@ sas,@ chi,was,bkn,den,hou,@ cle,@ bos,mem,@ nor,por,@ ind,@ det,@ mil,tor,mil,min,nyk,bkn,@ mem,ind,@ atl,@ was,phi
mil,@ nyk,@ bos,tor,cle,dal,@ mia,@ orl,@ ind,okc,por,@ phi,cha,@ det,was,@ cha,bos,@ bos,det,@ was,bkn,@ chi,sas,chi,@ dal,nyk,@ cle,phi,@ cha,@ bkn,min,@ lal,@ uth,@ pho,gsw,chi,@ okc,@ tor,mem,@ hou,@ sas,det,@ cle,atl,lac,pho,@ orl,@ mem,nyk,@ den,hou,bos,nor,orl,den,ind,@ phi,@ ind,bkn,uth,sac,@ nor,was,orl,@ min,@ atl,@ nyk,cha,@ por,@ gsw,@ sac,@ lac,lal,mia,@ det,@ mia,@ chi,tor,ind,cle,@ was,@ tor,atl
min,orl,okc,@ nyk,@ cle,gsw,dal,@ lal,@ lac,cle,@ den,bos,@ was,lac,bkn,@ hou,@ ind,den,@ dal,@ okc,sas,mia,@ det,phi,@ sas,@ mem,@ bos,por,@ lal,@ lac,was,@ mil,dal,nor,okc,@ phi,pho,cha,@ sas,sac,@ tor,uth,@ uth,@ gsw,@ por,@ chi,nor,mem,@ atl,lal,@ okc,@ nor,por,hou,den,ind,@ uth,@ por,@ pho,@ sac,@ den,nyk,det,tor,mil,@ cha,sac,@ dal,@ hou,pho,@ mem,atl,lal,@ bkn,lac,mem,@ mia,@ orl,chi,hou,@ sac,@ gsw,uth
nop,ind,@ orl,cha,pho,@ mem,lal,@ pho,@ lal,@ uth,phi,uth,cle,@ sas,gsw,@ phi,@ nyk,@ chi,dal,okc,det,mem,@ den,@ gsw,@ lac,@ por,@ sac,den,@ hou,por,@ min,@ bos,@ ind,@ mia,was,dal,@ dal,sas,hou,gsw,@ mem,sac,@ det,orl,@ cle,@ min,chi,sas,atl,min,@ bkn,@ tor,@ mil,nyk,@ cha,@ was,lac,@ dal,@ pho,@ lac,@ sac,@ lal,mil,den,mem,por,bos,tor,@ atl,mia,bkn,lac,uth,@ sas,sac,@ den,@ uth,@ por,pho,@ okc,@ hou,okc,hou
nyk,mil,@ chi,min,cha,@ cha,sas,@ atl,hou,atl,@ det,ind,@ was,@ por,@ lac,@ den,nor,@ bkn,orl,bos,@ cle,chi,@ bos,atl,was,@ mil,mem,@ orl,okc,tor,@ tor,@ sas,@ hou,@ dal,det,mia,@ phi,pho,@ cha,@ ind,lac,bkn,phi,cha,lal,bos,cle,mia,@ mil,por,den,@ okc,sac,@ mem,@ nor,@ orl,@ atl,dal,@ mia,gsw,@ chi,@ det,@ min,uth,@ cle,phi,@ bos,mil,ind,@ phi,cle,@ lal,@ sac,@ pho,@ gsw,@ uth,bkn,was,@ mia,@ tor,chi,@ bkn,tor
