id,name,city,country,3code,4code,latitude,longitude,altitude,timezone,dst,dob
8417,Jixi Airport,Jixi,China,JXA,ZYJX,45.30611,130.99667,0,8.0,N,12
8442,Shigatse Peace Airport,Shigatse,China,RKZ,ZURK,29.351667,89.306944,12408,8.0,N,0
8595,All Airports,Beijing,China,BJS,\N,39.904167,116.407222,171,8.0,U,0
8600,Longhua Airport,Shanghai,China,,ZSSL,31.166944,121.453611,14,8.0,U,0
8630,Bayannur,Bayannur,China,RLK,\N,40.926389,107.738889,3389,8.0,U,10
8640,Yongning Air Base,Beijing,China,,CN-0,40.50310135,116.1080017,1677,8.0,U,0
8757,Urumqi Railway Station,Urumqi,China,,\N,43.7809,87.585,2844,8.0,N,0
8758,Turpan Railway Station,Turpan,China,,\N,43.151,88.875,98,8.0,N,0
8781,Zhoubai,Qianjiang,China,JIQ,\N,29.515,108.83,2461,8.0,N,14
8826,Changbaishan Airport,Baishan,China,NBS,\N,42.088056,127.548889,2762,8.0,N,10
8843,Beijing Railway Station,Beijing,China,,\N,39.5408,116.2516,143,8.0,N,0
8844,Chengde Railway Station,Chengde,China,,\N,40.965755,117.954019,1083,8.0,N,0
8845,Yongzhou Lingling Airport,Yongzhou,China,LLF,\N,26.345556,111.612222,428,8.0,U,6
8858,Sannvhe,Tangshan,China,TVS,ZBSN,39.717444,118.002389,25,8.0,N,12
8876,Yangzhou Taizhou Airport,Yangzhou,China,YTY,ZSYA,32.5617,119.715,7,8.0,N,36
8878,Fuzhou Railway Station,Fuzhou,China,,\N,26.11351,119.319998,39,8.0,N,0
8879,Xiamen Railway Station,Xiamen,China,,\N,24.4679,118.116,255,8.0,N,0
8889,Tianshui Airport,Tianshui,China,THQ,ZLTS,34.333,105.514,9186,8.0,N,0
8915,Guangzhou Railway Station,Guangzhou,China,,\N,23.151343,113.252073,19,8.0,N,0
8916,Shenzhen West Railway Station,Shenzhen,China,,\N,22.532043,113.908729,3,8.0,N,0
8917,Shenzhen North Railway Station,Shenzhen,China,,\N,22.607058,114.027203,229,8.0,N,0
8919,Shekou Ferry Terminal,Shenzhen,China,,\N,22.476555,113.912855,2,8.0,N,0
8920,Zhuhai-Jiuzhou Port,Zhuhai,China,,\N,22.233333,113.583333,2,8.0,N,0
8921,Kangding Airport,Kangding,China,KGT,ZUKD,30.1575,101.734722,14042,8.0,N,2
8926,Turpan,Turpan,China,TLQ,ZWTP,42.942328,89.185877,20,8.0,U,0
8930,Yabuli,Yabuli Town,China,,\N,44.4653,128.27,1200,8.0,N,0
8971,Guyuan,Guyuan,China,GYU,ZLGY,36.078611,106.216667,5577,8.0,U,0
8974,Changhai,Changhai,China,CNI,ZYCH,39.266389,122.666944,1,8.0,N,0
8979,Jiagedaqi Airport,Jiagedaqi District,China,JGD,\N,50.375,124.117,1205,-8.0,N,8
9025,Bijie Feixiong Airport,Bijie,China,BFJ,\N,27.253,105.426,5250,8.0,N,16
9032,Qingdao Railway Station,Qingdao,China,,\N,36.063497,120.312542,45,8.0,N,0
9033,Beijing South Railway Station,Beijing,China,,\N,39.5157,116.2235,144,8.0,N,0
9034,Shanghai Railway Station,Shanghai,China,,\N,31.251552,121.450446,16,8.0,N,0
9035,Suzhou Railway Station,Suzhou,China,,\N,31.195,120.3623,9,8.0,N,0
9058,Shanghai South Railway Station,Shanghai,China,,\N,31.154425,121.42416,13,8.0,N,0
9059,Suzhou North Railway Station,Suzhou,China,,\N,31.423646,120.639045,6,8.0,N,0
9063,Nanjing Railway Station,Nanjing,China,,\N,32.088583,118.792189,29,8.0,N,0
9069,Shanghai Maglev Long Yang Road Station,Shanghai,China,,\N,31.202854,121.558335,16,8.0,U,0
9086,Suzhou Industrial Park Railway Station,Suzhou,China,,\N,31.344444,120.706667,7,8.0,N,0
9097,Hangzhou Railway Station,Hangzhou,China,,\N,30.246,120.1784,39,8.0,N,0
9107,Yichun Mingyueshan Airport,Yichun,China,YIC,ZSYC,27.8033,114.3081,131,8.0,U,12
9216,Beijing West Railway Station,Beijing,China,,\N,39.8955463,116.3201722,167,8.0,N,0
9254,Shenzhen Railway Station,Shenzhen,China,,\N,22.5344,114.1121,67,8.0,N,0
9308,Dawu,Lvliang,China,LLV,\N,37.683333,111.142778,3020,8.0,N,0
9310,Yading Daocheng,Daocheng,China,DCY,ZUDC,29.3231,100.0533,14472,8.0,N,8
9311,Gannan,Xiahe city,China,GXH,ZLXH,34.4909,102.3719,10466,8.0,N,4
9322,Main Station,Beijing,China,,\N,39.9,116.421,130,8.0,N,0
9362,Railway Station,Erlian,China,,\N,43.65,111.9833,3159,8.0,N,0
9363,Guangzhoudong Railway Station,Guangzhou,China,,\N,23.149554,113.32479,0,8.0,U,0
9386,Nalati,Xinyuan,China,NLT,ZWNL,43.433056,83.380278,0,8.0,U,0
